2024/04/15 11:03:09 ID: 241, Data: 9C1918005006DC81, Celsius: 25, A: +0.24, rev/s: +4.489,  rev: -89.700
2024/04/15 11:03:09 ID: 241, Data: 9C191C00E8057D82, Celsius: 25, A: +0.28, rev/s: +4.200,  rev: -89.253
2024/04/15 11:03:09 ID: 241, Data: 9C182E0047050E83, Celsius: 24, A: +0.46, rev/s: +3.753,  rev: -88.850
2024/04/15 11:03:09 ID: 241, Data: 9C182900BD049283, Celsius: 24, A: +0.41, rev/s: +3.369,  rev: -88.483
2024/04/15 11:03:10 ID: 241, Data: 9C1821004C040984, Celsius: 24, A: +0.33, rev/s: +3.056,  rev: -88.153
2024/04/15 11:03:10 ID: 241, Data: 9C191E00CB037284, Celsius: 25, A: +0.30, rev/s: +2.697,  rev: -87.861
2024/04/15 11:03:10 ID: 241, Data: 9C1821008303CE84, Celsius: 24, A: +0.33, rev/s: +2.497,  rev: -87.606
2024/04/15 11:03:10 ID: 241, Data: 9C182500C7021F85, Celsius: 24, A: +0.37, rev/s: +1.975,  rev: -87.381
2024/04/15 11:03:10 ID: 241, Data: 9C19200065026585, Celsius: 25, A: +0.32, rev/s: +1.703,  rev: -87.186
2024/04/15 11:03:10 ID: 241, Data: 9C191500CB019785, Celsius: 25, A: +0.21, rev/s: +1.275,  rev: -87.047
2024/04/15 11:03:10 ID: 241, Data: 9C1827007A01C385, Celsius: 24, A: +0.39, rev/s: +1.050,  rev: -86.925
2024/04/15 11:03:10 ID: 241, Data: 9C1819009200E185, Celsius: 24, A: +0.25, rev/s: +0.406,  rev: -86.842
2024/04/15 11:03:10 ID: 241, Data: 9C181D000000E685, Celsius: 24, A: +0.29, rev/s: +0.000,  rev: -86.828
2024/04/15 11:03:10 ID: 241, Data: 9C181E000000E685, Celsius: 24, A: +0.30, rev/s: +0.000,  rev: -86.828
2024/04/15 11:03:11 ID: 241, Data: 9C181D00FEFFE685, Celsius: 24, A: +0.29, rev/s: -0.006,  rev: -86.828
2024/04/15 11:03:11 ID: 241, Data: 9C191D00F8FFE685, Celsius: 25, A: +0.29, rev/s: -0.022,  rev: -86.828
2024/04/15 11:03:11 ID: 241, Data: 9C191E000D00E685, Celsius: 25, A: +0.30, rev/s: +0.036,  rev: -86.828
2024/04/15 11:03:11 ID: 241, Data: 9C181E00F1FFE685, Celsius: 24, A: +0.30, rev/s: -0.042,  rev: -86.828
2024/04/15 11:03:30 ID: 241, Data: 9C1809000600E685, Celsius: 24, A: +0.09, rev/s: +0.017,  rev: -86.828
2024/04/15 11:03:30 ID: 241, Data: 9C190900EBFFE685, Celsius: 25, A: +0.09, rev/s: -0.058,  rev: -86.828
2024/04/15 11:03:30 ID: 241, Data: 9C1909000900E685, Celsius: 25, A: +0.09, rev/s: +0.025,  rev: -86.828
2024/04/15 11:03:30 ID: 241, Data: 9C190A000A00E685, Celsius: 25, A: +0.10, rev/s: +0.028,  rev: -86.828
2024/04/15 11:03:30 ID: 241, Data: 9C180A000000E685, Celsius: 24, A: +0.10, rev/s: +0.000,  rev: -86.828
2024/04/15 11:03:30 ID: 241, Data: 9C1909000000E685, Celsius: 25, A: +0.09, rev/s: +0.000,  rev: -86.828
2024/04/15 11:03:30 ID: 241, Data: 9C1809000600E685, Celsius: 24, A: +0.09, rev/s: +0.017,  rev: -86.828
2024/04/15 11:03:51 ID: 241, Data: 9C191400F5FFE685, Celsius: 25, A: +0.20, rev/s: -0.031,  rev: -86.828
2024/04/15 11:03:51 ID: 241, Data: 9C191300F9FFE685, Celsius: 25, A: +0.19, rev/s: -0.019,  rev: -86.828
2024/04/15 11:03:51 ID: 241, Data: 9C190C006100E885, Celsius: 25, A: +0.12, rev/s: +0.269,  rev: -86.822
2024/04/15 11:03:51 ID: 241, Data: 9C191000DA00F685, Celsius: 25, A: +0.16, rev/s: +0.606,  rev: -86.783
2024/04/15 11:03:52 ID: 241, Data: 9C190E0087011586, Celsius: 25, A: +0.14, rev/s: +1.086,  rev: -86.697
2024/04/15 11:03:52 ID: 241, Data: 9C1917000F024686, Celsius: 25, A: +0.23, rev/s: +1.464,  rev: -86.561
2024/04/15 11:03:52 ID: 241, Data: 9C190D00B0028486, Celsius: 25, A: +0.13, rev/s: +1.911,  rev: -86.389
2024/04/15 11:03:52 ID: 241, Data: 9C1912000C03D086, Celsius: 25, A: +0.18, rev/s: +2.167,  rev: -86.178
2024/04/15 11:03:52 ID: 241, Data: 9C190C008A032587, Celsius: 25, A: +0.12, rev/s: +2.517,  rev: -85.942
2024/04/15 11:03:52 ID: 241, Data: 9C190B00C0038287, Celsius: 25, A: +0.11, rev/s: +2.667,  rev: -85.683
2024/04/15 11:03:52 ID: 241, Data: 9C1909001504E787, Celsius: 25, A: +0.09, rev/s: +2.903,  rev: -85.403
2024/04/15 11:03:52 ID: 241, Data: 9C191100FD035188, Celsius: 25, A: +0.17, rev/s: +2.836,  rev: -85.108
2024/04/15 11:03:52 ID: 241, Data: 9C191A001A04BF88, Celsius: 25, A: +0.26, rev/s: +2.917,  rev: -84.803
2024/04/15 11:03:52 ID: 241, Data: 9C1920004F042F89, Celsius: 25, A: +0.32, rev/s: +3.064,  rev: -84.492
2024/04/15 11:03:53 ID: 241, Data: 9C1916005A04A289, Celsius: 25, A: +0.22, rev/s: +3.094,  rev: -84.172
2024/04/15 11:03:53 ID: 241, Data: 9C1919006C04158A, Celsius: 25, A: +0.25, rev/s: +3.144,  rev: -83.853
2024/04/15 11:03:53 ID: 241, Data: 9C1917007C048A8A, Celsius: 25, A: +0.23, rev/s: +3.189,  rev: -83.528
2024/04/15 11:03:53 ID: 241, Data: 9C191A007504018B, Celsius: 25, A: +0.26, rev/s: +3.169,  rev: -83.197
2024/04/15 11:03:53 ID: 241, Data: 9C1913009704778B, Celsius: 25, A: +0.19, rev/s: +3.264,  rev: -82.869
