2024/04/12 15:45:16 ID: 241, Data: 9C1B0B0094098F09, Celsius: 27, A: +0.11, rev/s: +6.811,  rev: +6.797
2024/04/12 15:45:16 ID: 241, Data: 9C1BFDFFAA098D0A, Celsius: 27, A: -0.03, rev/s: +6.872,  rev: +7.503
2024/04/12 15:45:16 ID: 241, Data: 9C1B1100A8098C0B, Celsius: 27, A: +0.17, rev/s: +6.867,  rev: +8.211
2024/04/12 15:45:16 ID: 241, Data: 9C1B0100E509900C, Celsius: 27, A: +0.01, rev/s: +7.036,  rev: +8.933
2024/04/12 15:45:17 ID: 241, Data: 9C1B0E009809910D, Celsius: 27, A: +0.14, rev/s: +6.822,  rev: +9.647
2024/04/12 15:45:17 ID: 241, Data: 9C1B0200350A930E, Celsius: 27, A: +0.02, rev/s: +7.258,  rev: +10.364
2024/04/12 15:45:17 ID: 241, Data: 9C1B17008309960F, Celsius: 27, A: +0.23, rev/s: +6.764,  rev: +11.083
2024/04/12 15:45:17 ID: 241, Data: 9C1B14003C0A9C10, Celsius: 27, A: +0.20, rev/s: +7.278,  rev: +11.811
2024/04/12 15:45:17 ID: 241, Data: 9C1B0A00D209A411, Celsius: 27, A: +0.10, rev/s: +6.983,  rev: +12.544
2024/04/12 15:45:17 ID: 241, Data: 9C1B0200180AAA12, Celsius: 27, A: +0.02, rev/s: +7.178,  rev: +13.272
2024/04/12 15:45:17 ID: 241, Data: 9C1B0500D409B513, Celsius: 27, A: +0.05, rev/s: +6.989,  rev: +14.014
2024/04/12 15:45:17 ID: 241, Data: 9C1B0800300ABD14, Celsius: 27, A: +0.08, rev/s: +7.244,  rev: +14.747
2024/04/12 15:45:17 ID: 241, Data: 9C1BFCFF270AC915, Celsius: 27, A: -0.04, rev/s: +7.219,  rev: +15.492
2024/04/12 15:45:17 ID: 241, Data: 9C1B0B00110AD116, Celsius: 27, A: +0.11, rev/s: +7.158,  rev: +16.225
2024/04/12 15:45:18 ID: 241, Data: 9C1B08000F0ADF17, Celsius: 27, A: +0.08, rev/s: +7.153,  rev: +16.975
2024/04/12 15:45:18 ID: 241, Data: 9C1B0B00200AE818, Celsius: 27, A: +0.11, rev/s: +7.200,  rev: +17.711
2024/04/12 15:45:18 ID: 241, Data: 9C1B1000530AF519, Celsius: 27, A: +0.16, rev/s: +7.342,  rev: +18.458
2024/04/12 15:45:18 ID: 241, Data: 9C1B1600010AFD1A, Celsius: 27, A: +0.22, rev/s: +7.114,  rev: +19.192
2024/04/12 15:45:18 ID: 241, Data: 9C1B0300280A0B1C, Celsius: 27, A: +0.03, rev/s: +7.222,  rev: +19.942
2024/04/12 15:45:18 ID: 241, Data: 9C1B1500270A161D, Celsius: 27, A: +0.21, rev/s: +7.219,  rev: +20.683
2024/04/12 15:45:18 ID: 241, Data: 9C1BFAFF870A231E, Celsius: 27, A: -0.06, rev/s: +7.486,  rev: +21.431
2024/04/12 15:45:18 ID: 241, Data: 9C1B2A00D5092B1F, Celsius: 27, A: +0.42, rev/s: +6.992,  rev: +22.164
2024/04/12 15:45:18 ID: 241, Data: 9C1B08007A0A3920, Celsius: 27, A: +0.08, rev/s: +7.450,  rev: +22.914
2024/04/12 15:45:19 ID: 241, Data: 9C1B0F00F6094321, Celsius: 27, A: +0.15, rev/s: +7.083,  rev: +23.653
2024/04/12 15:45:19 ID: 241, Data: 9C1B0800BF0A4F22, Celsius: 27, A: +0.08, rev/s: +7.642,  rev: +24.397
2024/04/12 15:45:19 ID: 241, Data: 9C1B2700D0095A23, Celsius: 27, A: +0.39, rev/s: +6.978,  rev: +25.139
2024/04/12 15:45:19 ID: 241, Data: 9C1B1B00630A6824, Celsius: 27, A: +0.27, rev/s: +7.386,  rev: +25.889
2024/04/12 15:45:19 ID: 241, Data: 9C1B0A00F0097425, Celsius: 27, A: +0.10, rev/s: +7.067,  rev: +26.633
2024/04/12 15:45:19 ID: 241, Data: 9C1B1F009D0A7F26, Celsius: 27, A: +0.31, rev/s: +7.547,  rev: +27.375
2024/04/12 15:45:19 ID: 241, Data: 9C1B1400D5098B27, Celsius: 27, A: +0.20, rev/s: +6.992,  rev: +28.119
2024/04/12 15:45:19 ID: 241, Data: 9C1B0700830A9828, Celsius: 27, A: +0.07, rev/s: +7.475,  rev: +28.867
2024/04/12 15:45:19 ID: 241, Data: 9C1B1100010AA529, Celsius: 27, A: +0.17, rev/s: +7.114,  rev: +29.614
2024/04/12 15:45:19 ID: 241, Data: 9C1B0000A40AB02A, Celsius: 27, A: +0.00, rev/s: +7.567,  rev: +30.356
2024/04/12 15:45:20 ID: 241, Data: 9C1B2700BC09BC2B, Celsius: 27, A: +0.39, rev/s: +6.922,  rev: +31.100
2024/04/12 15:45:20 ID: 241, Data: 9C1BFFFF760AC92C, Celsius: 27, A: -0.01, rev/s: +7.439,  rev: +31.847
2024/04/12 15:45:20 ID: 241, Data: 9C1B1A00F209D52D, Celsius: 27, A: +0.26, rev/s: +7.072,  rev: +32.592
2024/04/12 15:45:20 ID: 241, Data: 9C1BFCFFA20AE12E, Celsius: 27, A: -0.04, rev/s: +7.561,  rev: +33.336
2024/04/12 15:45:20 ID: 241, Data: 9C1B1400CC09EE2F, Celsius: 27, A: +0.20, rev/s: +6.967,  rev: +34.083
2024/04/12 15:45:20 ID: 241, Data: 9C1B0A007A0AFA30, Celsius: 27, A: +0.10, rev/s: +7.450,  rev: +34.828
2024/04/12 15:45:20 ID: 241, Data: 9C1B0A00100A0832, Celsius: 27, A: +0.10, rev/s: +7.156,  rev: +35.578
2024/04/12 15:45:20 ID: 241, Data: 9C1B0B00930A1333, Celsius: 27, A: +0.11, rev/s: +7.519,  rev: +36.319
2024/04/12 15:45:20 ID: 241, Data: 9C1B1A00D6092034, Celsius: 27, A: +0.26, rev/s: +6.994,  rev: +37.067
2024/04/12 15:45:20 ID: 241, Data: 9C1B1200570A2C35, Celsius: 27, A: +0.18, rev/s: +7.353,  rev: +37.811
2024/04/12 15:45:21 ID: 241, Data: 9C1B0000010A3A36, Celsius: 27, A: +0.00, rev/s: +7.114,  rev: +38.561
2024/04/12 15:45:21 ID: 241, Data: 9C1B1600730A4537, Celsius: 27, A: +0.22, rev/s: +7.431,  rev: +39.303
2024/04/12 15:45:21 ID: 241, Data: 9C1B0F00030A5338, Celsius: 27, A: +0.15, rev/s: +7.119,  rev: +40.053
2024/04/12 15:45:21 ID: 241, Data: 9C1B04004E0A5E39, Celsius: 27, A: +0.04, rev/s: +7.328,  rev: +40.794
2024/04/12 15:45:21 ID: 241, Data: 9C1B0900310A6C3A, Celsius: 27, A: +0.09, rev/s: +7.247,  rev: +41.544
