2024/04/15 14:25:18 ID: 241, Data: 9C4BC702EAFF25EF, Celsius: 75, A: +7.11, rev/s: -0.061,  rev: -11.986
2024/04/15 14:25:18 ID: 241, Data: 9C4BC702F9FF25EF, Celsius: 75, A: +7.11, rev/s: -0.019,  rev: -11.986
2024/04/15 14:25:18 ID: 241, Data: 9C4CC902FEFF26EF, Celsius: 76, A: +7.13, rev/s: -0.006,  rev: -11.983
2024/04/15 14:25:19 ID: 241, Data: 9C4BC902060026EF, Celsius: 75, A: +7.13, rev/s: +0.017,  rev: -11.983
2024/04/15 14:25:19 ID: 241, Data: 9C4CC902FDFF26EF, Celsius: 76, A: +7.13, rev/s: -0.008,  rev: -11.983
2024/04/15 14:25:19 ID: 241, Data: 9C4CC602080026EF, Celsius: 76, A: +7.10, rev/s: +0.022,  rev: -11.983
2024/04/15 14:25:19 ID: 241, Data: 9C4CC702090026EF, Celsius: 76, A: +7.11, rev/s: +0.025,  rev: -11.983
2024/04/15 14:25:19 ID: 241, Data: 9C4CC702170026EF, Celsius: 76, A: +7.11, rev/s: +0.064,  rev: -11.983
2024/04/15 14:25:19 ID: 241, Data: 9C4CC802030026EF, Celsius: 76, A: +7.12, rev/s: +0.008,  rev: -11.983
2024/04/15 14:25:19 ID: 241, Data: 9C4DC702E4FF25EF, Celsius: 77, A: +7.11, rev/s: -0.078,  rev: -11.986
2024/04/15 14:25:19 ID: 241, Data: 9C4CC602000026EF, Celsius: 76, A: +7.10, rev/s: +0.000,  rev: -11.983
2024/04/15 14:25:19 ID: 241, Data: 9C4DC702FAFF26EF, Celsius: 77, A: +7.11, rev/s: -0.017,  rev: -11.983
2024/04/15 14:25:19 ID: 241, Data: 9C4DC702FCFF26EF, Celsius: 77, A: +7.11, rev/s: -0.011,  rev: -11.983
2024/04/15 14:25:20 ID: 241, Data: 9C4DC502F6FF26EF, Celsius: 77, A: +7.09, rev/s: -0.028,  rev: -11.983
2024/04/15 14:25:20 ID: 241, Data: 9C4DC802FAFF26EF, Celsius: 77, A: +7.12, rev/s: -0.017,  rev: -11.983
2024/04/15 14:25:20 ID: 241, Data: 9C4EC702210026EF, Celsius: 78, A: +7.11, rev/s: +0.092,  rev: -11.983
2024/04/15 14:25:20 ID: 241, Data: 9C4DC602020026EF, Celsius: 77, A: +7.10, rev/s: +0.006,  rev: -11.983
2024/04/15 14:25:20 ID: 241, Data: 9C4EC902E6FF26EF, Celsius: 78, A: +7.13, rev/s: -0.072,  rev: -11.983
2024/04/15 14:25:20 ID: 241, Data: 9C4EC802F2FF26EF, Celsius: 78, A: +7.12, rev/s: -0.039,  rev: -11.983
2024/04/15 14:25:20 ID: 241, Data: 9C4EC502040026EF, Celsius: 78, A: +7.09, rev/s: +0.011,  rev: -11.983
2024/04/15 14:25:20 ID: 241, Data: 9C4EC702FDFF26EF, Celsius: 78, A: +7.11, rev/s: -0.008,  rev: -11.983
2024/04/15 14:25:20 ID: 241, Data: 9C4FC702FBFF26EF, Celsius: 79, A: +7.11, rev/s: -0.014,  rev: -11.983
